temperature_midi,humidity_midi,wind_midi,wind_norm,pressure_midi,rain_hits
65.15384615384616,59.15384615384615,38.61538461538461,0.2325,47.0,0
67.15384615384616,57.92307692307692,38.15384615384615,0.2325,47.0,0
66.53846153846153,58.53846153846154,38.61538461538461,0.325,47.0,0
67.76923076923077,58.23076923076923,39.23076923076923,0.325,47.0,0
67.61538461538461,59.38461538461539,40.92307692307692,0.4175,47.0,13
68.6923076923077,59.0,40.69230769230769,0.4625,47.0,4
68.38461538461539,58.23076923076923,41.61538461538461,0.4625,45.92307692307692,0
69.0,59.0,44.23076923076923,0.6475,43.61538461538461,10
69.0,58.84615384615385,46.53846153846154,1.0,40.92307692307692,9
67.46153846153847,56.53846153846154,51.23076923076923,1.0,38.0,6
67.0,57.0,49.07692307692308,0.8324999999999999,39.53846153846154,0
67.0,56.38461538461539,46.69230769230769,0.74,42.92307692307692,0
67.0,56.38461538461539,45.15384615384615,0.74,45.0,1
67.76923076923077,59.0,43.46153846153846,0.5549999999999999,45.15384615384615,5
69.0,58.53846153846154,43.61538461538461,0.5549999999999999,46.53846153846154,3
68.38461538461539,57.30769230769231,43.46153846153846,0.51,45.46153846153846,0
66.84615384615384,59.0,40.46153846153846,0.4625,46.53846153846154,0
66.38461538461539,57.92307692307692,41.92307692307692,0.51,47.0,0
67.0,58.53846153846154,43.0,0.4175,47.0,0
68.38461538461539,57.61538461538461,44.38461538461539,0.6475,47.0,0
67.0,59.0,41.38461538461539,0.4175,47.92307692307692,0
67.76923076923077,57.76923076923077,41.84615384615385,0.4625,50.0,0
65.92307692307692,59.0,40.0,0.325,50.0,0
67.61538461538461,58.0,39.23076923076923,0.27749999999999997,50.0,0
65.3076923076923,59.53846153846154,38.92307692307692,0.2325,50.0,0
67.46153846153847,58.46153846153846,38.0,0.185,50.0,0
65.92307692307692,59.76923076923077,38.0,0.185,50.0,0
66.6923076923077,59.30769230769231,38.46153846153846,0.2325,50.0,0
65.92307692307692,59.0,38.15384615384615,0.2325,50.0,0
65.76923076923077,58.84615384615385,38.0,0.185,50.0,0
66.23076923076923,58.38461538461539,38.30769230769231,0.2325,50.0,0
64.76923076923077,59.76923076923077,38.92307692307692,0.2325,50.0,0
